title,desc,date,link
中国称将打击侵权和假冒伪劣纳入政府绩效考核,...纳入社会治安综合治理考评范围，逐级开展督促检查。意见指出，党中央、国务院高度重视保护知识产权和打击制售假冒伪劣商品工作，近年来采取了一系列政策措施，推动我国知识产权保护和产品质量安全水平不断提高。2010年...、审查起诉、诉讼监督和对行政执法机关移送涉嫌犯罪案件的监督职责，支持配合法院做好侵权和假冒伪劣犯罪案件审理工作，依法严惩犯罪分子。(三)加强行政执法与刑事司法有效衔接。商务部作为打击侵权和...,2012-01-20 11:33,http://www.njdaily.cn/2012/0120/75928.shtml
中国将完善刑事定罪量刑标准 打击侵权假冒伪劣,...相关法律法规和规章，推动完善刑事定罪量刑标准。为完善打击侵权和假冒伪劣工作，意见提出4点保障措施：加强组织领导和统筹协调设立全国打击侵犯...对跨境、有组织知识产权犯罪以及利用互联网等新技术实施侵权和假冒伪劣的行为，各地区、各有关部门要研究完善相应的执法监管措施。...公正执法、文明执法。充实基层行政执法人员，加强刑事司法打击侵权和假冒伪劣犯罪专业力量，下移监管重心，推进综合执法和联合执法。保障打击侵权...,2012-01-20 12:16,http://www.njdaily.cn/2012/0120/75978.shtml
电梯质量安全问题频发有多少电梯是假冒伪劣产品,...盛翔销往国内多省份、价值2200余万元的品牌电梯，竟然全部是假冒伪劣产品！近日，湖北荆州警方成功破获一起制售伪劣电梯案，抓获11名...公众的困惑。众所周知，电梯安全有专门的监管部门和检验部门，怎么就连假冒伪劣电梯都识别不了？这里面是否同样存在巨大的寻租腐败空间？...查证——这究竟是制度的空白，还是执行的漏洞？电梯安全事关人命，假冒伪劣电梯犹如“定时炸弹”，这一模糊地带亟待廓清，从制度上消除电梯造假空间...,2014-11-24 19:47,http://www.njdaily.cn/2014/1124/993454.shtml
从打击假冒伪劣将入政府绩效考核看打假加码,...打击侵权假冒工作常态化工作机制等情况举行发布会。全国打击侵犯知识产权和制售假冒伪劣商品工作领导小组办公室主任、商务部副部长姜增伟表示，为建立健全打击...作为，难道不是纵容无良商家吗？如今，我国将把打击侵权和假冒伪劣工作纳入政府的绩效考核体系，并将采取奖励的方法鼓励社会公众举报侵权...职责，依法严打无良厂商，不给问题产品流入市场的机会。将打击假冒伪劣纳入政府政绩考核，就给职能部门套上了金箍，不履行职责、...,2011-12-15 12:45,http://www.njdaily.cn/2011/1215/56686.shtml
农村假冒伪劣泛滥源于监管城乡有别,"...问题是,为什么这样的行为竟然能够长期存在?监管部门在哪里?谁来查处制假售假者的违法犯罪?不得不说,农村市场假冒伪劣的泛滥,根本原因就在于那里是监管的真空地带和不毛之地。换句话说,不是因为农村消费者都是“傻子”,而是因为监管部门在穷乡僻壤常年“玩失踪”。当农村市场成为假冒伪劣倾销地,巨大的中间利润必然发生劣币驱逐良币效应,让农村消费者除假货之外几乎没有真货可买,逃...",2014-01-20 10:09,http://www.njdaily.cn/2014/0120/730993.shtml
广东口岸1至8月查处进出口假冒伪劣商品案件增近四成,...雷朋”等国际品牌的手袋、钱包、皮带、太阳镜等案件19宗；还有假冒伪劣汽车配件、香水、洗面奶、化妆品、耳机、充电器等电子产品，涉及仿冒品牌有“尼桑”、“雪佛兰”“索尼”等。出口假冒伪劣产品中各种鞋类和服装的案件数量最大，占所有案件数量的60%左右；其次为...所有案件数量的30%左右。无论从案件数量还是涉案金额来看，广东地区出口假冒伪劣产品90%为服饰穿戴用品。专家分析指出，这是由于广东地区制造业较为...,2016-09-29 16:11,http://www.njdaily.cn/2016/0929/1493969.shtml
南京集中公开销毁一批假冒伪劣商品 网购投诉举报多,...成新热点南报网讯（记者 吕宁丰）工商部门出重拳，严打假冒伪劣商品。12月14日下午，在江宁区秣陵街道一家环保回收企...”、“奔驰”汽配、“壳”牌机油等名牌。记者在销毁现场看到，等待处理的假冒伪劣商品堆积如山，按照门类整齐摆放。主要涉及假酒、食品、保健品、化妆品...投诉举报日益增多成热点。针对这一现状，我市工商局加大打击网络销售假冒伪劣产品的力度。据统计，今年全市工商、市场监管部门在网上检查网站5350...,2016-12-14 17:02,http://www.njdaily.cn/2016/1214/1541183.shtml
公安近1年查假冒伪劣商品案28607起 案值180亿,...鱼”、“鲁花”等品牌食用油成品47吨，原料油98吨。犯罪嫌疑人累计销售金额达5500余万元。制售假冒伪劣“三星”手机案特点：缴获假冒手机数量最多，打击生产销售利益链条最完整。今年6月，江苏警方发现...河南、贵州等14地警方出动警力2500余名，抓获犯罪嫌疑人483名，缴获假冒“茅台”、“五粮液”等各品牌假冒伪劣白酒、葡萄酒13.4万瓶，假冒瓶盖、酒盒、商标、防伪标签等包装材料1350万件（套）。...,2011-11-07 14:12,http://www.njdaily.cn/2011/1107/35503.shtml
中国警方今年以来破获假冒伪劣犯罪案件近2万起,中新社北京8月10日电 (记者 欧阳开宇)2013年以来，中国警方共破获各类假冒伪劣犯罪案件19889起。这是公安部10日透露的信息。警方以民意为导向开展的“打假行动”严厉打击危害民生的假...有害化学制剂加工“毒豆芽”系列案；浙江、江西等12省警方侦破以“人体血液测试”为幌子，制售“消栓三通”等假冒伪劣保健品案；福建、广西警方破获制售假种子、导致农户重大损失案。截至目前，全国公安机关已彻底摧毁519...,2013-08-10 12:18,http://www.njdaily.cn/2013/0810/540701.shtml
南京一批假冒伪劣商品集中销毁,...“LV”、“五粮液”、“洋河”、“奔驰”汽配、“壳”牌机油等名牌商品。记者在销毁现场看到，等待处理的假冒伪劣商品堆积如山，作业人员按照酒类、衣着日用品、电子电器、机械等不同类别，通过外力冲击、浸泡、切割...，对假冒伪劣商品进行无害化处理，并回收再利用。近年来，随着电商迅猛发展，工商部门加大打击网络销售假冒伪劣产品的力度。据统计，今年全市工商、市场监管部门在网上检查网站5350个，查处网络商标侵权、...,2016-12-15 06:32,http://www.njdaily.cn/2016/1215/1541349.shtml
 抵制假冒伪劣,...）向市民讲解辨假识假方法。新华社记者 李钢 摄 　　这是3月14日拍摄的2017年福州市假冒伪劣消防产品集中销毁仪式现场。当日，福州市公安消防支队联合福州市市场监督管理局、市公安局经侦支队在福州...辨别假冒、劣质食品，提高学生的食品安全意识。新华社记者 刘军喜 摄 　　3月14日，运输假冒伪劣商品的车辆在银川市街头巡游。“3·15”国际消费者权益日即将到来之际，银川市市场监督管理局集中展示并销毁食品、...,2017-03-15 10:42,http://www.njdaily.cn/2017/0315/1590786.shtml
中国182城市“亮剑”集中销毁假冒伪劣商品,...公安机关在打击侵犯知识产权和制售伪劣商品犯罪“亮剑”行动中查获的假冒伪劣商品在天津市大剧场前广场被集中销毁。此举宣布了中国公安机关“决战‘...集中销毁活动同步开展，2千5百多万件假名牌、假农资、假药品、假食品等假冒伪劣商品被集中销毁。综合媒体报道，公安机关查获的...，西藏自治区公安厅集中销毁了一批价值人民币400余万元的侵犯知识产权及假冒伪劣产品，共破获侵犯知识产权和制售伪劣商品犯罪案件12起，抓获犯罪...,2011-11-06 21:10,http://www.njdaily.cn/2011/1106/35079.shtml
南京市工商集中销毁案值410万元假冒伪劣商品,...我市一家专门从事废旧物资回收处理的企业，地点位于溧水县柘塘镇。市工商局有关负责人介绍，2007年以前，假冒伪劣商品主要采取焚毁的办法，既污染环境，也造成了浪费。现在工商部门销毁罚没物资，不再一...处理，从而达到资源再生和环保的目的。根据国务院部署开展的“全国集中开展打击侵犯知识产权、打击制售假冒伪劣商品”专项行动，自2010年10月份至2011年6月份，全市工商系统严查假冒劣质食品、假冒伪劣农资和“...,2012-03-06 15:54,http://www.njdaily.cn/2012/0306/99463.shtml
湖南绥宁公开销毁标价100万元假冒伪劣商品,...大型专业市场以及重点整治领域的经营主体进行了重点监管排查，并开展了多个专项行动，取得了良好的成效。此次假冒伪劣商品集中销毁行动活动中共出动执法车辆10辆、执法人员60余人。销毁的假冒伪劣商品均为2015年市场监管部门在多次专项打假治劣行动中所查获的商标侵权、抽检不合格的假冒伪劣商品。包含香烟、食品、药品、化肥、农药、家电等17个类别，约6000余件，标价近100万元。县...,2016-03-15 16:28,http://www.njdaily.cn/2016/0315/1346911.shtml
限制取缔职业打假等于放纵假冒伪劣,...自作主张。毕竟，职业打假人的打假行为，并未损害公众利益，受损失的只是出售假冒伪劣或过期商品的商家，限制知假买假行为，不仅不利于打击假冒伪劣...那只会损害消费者利益，却让制假售假者松了口气，等于变相鼓励制售假冒伪劣商品的行为，只会让目前本已严重的商品质量问题雪上加霜。即便真的...假冒伪劣商品潮”，也不是什么坏事。真正该担心的也是假冒伪劣商品的经营者，而不应该是消费者。相反，大多数消费者是乐于见到这一局面的。...,2016-08-16 15:28,http://www.njdaily.cn/2016/0816/1461727.shtml
广州机场检验检疫局查获假冒伪劣眼镜 货值近千万,...检疫部门查获的冒牌眼镜广州机场检验检疫局近日在出口货物中查获涉及近30种国际品牌共计近2000副假冒伪劣眼镜，涉案货值近1000万元。这是今年以来广东检验检疫部门在“清风”行动中查获货值最大的案例...广州机场检验检疫局已依法将该案件移交给公安机关进行立案处理。经查实，此次查获的眼镜均为假冒伪劣产品，涉及Dior、Chanel、Gucci、LV、Prada等国际品牌40多个款式，其商品标注产地为法国...,2016-08-31 20:06,http://www.njdaily.cn/2016/0831/1473184.shtml
陈德铭:国务院成立常态化领导机构打击假冒伪劣行为,...内容是什么？有些什么新的工作进展？陈德铭:去年国务院对打击假冒伪劣、保护知识产权制定了一个长效机制，这个长效机制是在前年10月...了这样一个目标。陈德铭:为了使我们的打击侵犯知识产权和制售假冒伪劣行动能够长期坚持下去，国务院的常务会议讨论，成立了一个常态化的...有29个部门，日常工作的办公室设在商务部。这个长效机制对今后的打击假冒伪劣、保护知识产权作出了一系列的安排。去年年底，国务院以国务院37号...,2012-03-07 12:11,http://www.njdaily.cn/2012/0307/99949.shtml
广东查获大量出口假冒伪劣商品 涉案金额超千万,...检疫局执法人员在黄埔口岸现场共同清点鉴别，截至发稿时为止，已经在其中两个集装箱中查获了假冒伪劣的LV包1200个，NIKE运动鞋1000双，NIKE手表3000只，ADIDAST恤衫10000件，ADIDAS运动鞋...检疫执法人员开箱查验发现，全部为假冒的标注产地为马来西亚的出口饼干。目前这四批出口假冒伪劣商品的查验清点工作还在紧张进行中。广东出入境检验检疫局相关负责人表示，假冒伪劣商品往往品质低劣...,2013-08-07 10:11,http://www.njdaily.cn/2013/0807/536399.shtml
粉碎！石家庄消防队员销毁假冒伪劣消防器材,...，石家庄市公安消防支队公开销毁此前收缴的灭火器、消防水带、直流水枪、消防应急照明灯具、防火门等假冒伪劣消防产品，并向消防安全重点单位人员宣传了消防常识。■对假冒灭火器进行销毁。昨天9时45分，...住宅、弱势群体居住场所和小单位抵御火灾的能力，3月14日上午，石家庄市公安消防支队举行了3·15假冒伪劣消防产品销毁仪式暨消防产品宣传活动。消防安全重点单位人员，幼儿园、棚户区、集贸市场、劳动密集企业等...,2017-03-15 16:29,http://www.njdaily.cn/2017/0315/1591081.shtml
